timestamp,last_price,predicted_pct,actual_pct,mse,cumulative_pnl
15:39:20,59300.1,0.0001,0.0153,0.000233,0.0000
15:40:21,59309.2,0.0002,0.0598,0.003554,0.0000
15:41:22,59344.66,0.0000,-0.0466,0.002173,0.0000
15:42:22,59317.0,0.0002,0.0016,0.000002,0.0000
15:43:23,59317.93,0.0002,0.0383,0.001451,0.0000
15:44:24,59340.63,0.0003,-0.0292,0.000867,0.0000
15:45:25,59323.33,-0.0001,0.0152,0.000233,0.0000
15:46:26,59332.35,0.0001,-0.0259,0.000679,0.0000
15:47:26,59316.97,0.0002,0.0276,0.000749,0.0000
15:48:27,59333.34,0.0003,0.0260,0.000661,0.0000
15:49:28,59348.75,0.0002,0.0206,0.000418,0.0000
15:50:29,59360.99,0.0002,-0.0926,0.008614,0.0000
15:51:30,59306.0,-0.0001,0.0111,0.000127,0.0000
15:52:30,59312.61,0.0002,0.0133,0.000172,0.0000
15:53:31,59320.51,0.0000,0.0092,0.000085,0.0000
15:54:32,59325.99,0.0001,0.0224,0.000497,0.0000
15:55:33,59339.28,0.0001,-0.0189,0.000359,0.0000
15:56:34,59328.08,0.0002,0.0588,0.003428,0.0000
15:57:34,59362.94,-0.0001,0.0321,0.001035,0.0000
15:58:35,59382.0,0.0000,0.0313,0.000981,0.0000
15:59:36,59400.6,-0.0000,-0.0431,0.001855,0.0000
16:00:37,59375.0,0.0004,-0.0849,0.007278,0.0000
16:01:38,59324.58,0.0002,0.0185,0.000335,0.0000
16:02:38,59335.53,-0.0004,0.0050,0.000029,0.0000
16:03:39,59338.49,0.0000,0.0551,0.003039,0.0000
16:04:40,59371.21,0.0002,0.0273,0.000734,0.0000
16:05:41,59387.41,-0.0001,0.0011,0.000001,0.0000
16:06:42,59388.04,0.0001,0.0201,0.000400,0.0000
16:07:43,59400.0,0.0002,-0.0275,0.000770,0.0000
16:08:44,59383.65,0.0001,-0.0101,0.000104,0.0000
16:09:44,59377.65,-0.0000,0.0154,0.000238,0.0000
16:10:45,59386.81,0.0003,0.0222,0.000479,0.0000
16:11:46,59400.0,-0.0000,-0.0000,0.000000,0.0000
16:12:47,59399.99,0.0005,-0.0181,0.000346,0.0000
16:13:48,59389.22,-0.0001,0.0032,0.000010,0.0000
16:14:49,59391.1,0.0004,-0.0032,0.000012,0.0000
16:15:50,59389.22,0.0001,-0.0054,0.000030,0.0000
16:16:50,59386.01,0.0002,-0.0438,0.001941,0.0000
16:17:51,59359.99,0.0000,-0.0382,0.001459,0.0000
16:18:52,59337.32,-0.0002,-0.0358,0.001268,0.0000
16:19:53,59316.07,-0.0001,-0.0033,0.000010,0.0000
16:20:54,59314.12,0.0000,0.0249,0.000617,0.0000
16:21:55,59328.86,0.0001,-0.0351,0.001241,0.0000
16:22:56,59308.01,-0.0000,-0.0133,0.000178,0.0000
16:23:56,59300.1,-0.0006,-0.0299,0.000855,0.0000
16:24:57,59282.39,0.0001,-0.0372,0.001388,0.0000
16:25:58,59260.34,-0.0000,-0.0049,0.000024,0.0000
16:26:59,59257.43,0.0000,-0.0698,0.004873,0.0000
16:27:59,59216.08,-0.0004,0.0223,0.000515,0.0000
16:29:00,59229.3,-0.0002,-0.0022,0.000004,0.0000
16:30:01,59228.01,-0.0001,-0.0079,0.000060,0.0000
16:31:02,59223.36,-0.0002,-0.0023,0.000004,0.0000
16:32:03,59222.01,-0.0000,0.0227,0.000517,0.0000
16:33:04,59235.44,0.0001,-0.1442,0.020827,0.0000
16:34:04,59150.01,-0.0000,-0.0119,0.000139,0.0000
16:35:05,59143.0,-0.0001,-0.0144,0.000204,0.0000
16:36:06,59134.47,-0.0001,0.0847,0.007194,0.0000
16:37:07,59184.57,-0.0003,0.0024,0.000008,0.0000
16:38:08,59186.02,0.0000,0.0152,0.000230,0.0000
16:39:09,59195.01,0.0003,-0.0207,0.000445,0.0000
16:40:10,59182.73,0.0004,0.0027,0.000006,0.0000
16:41:11,59184.34,0.0001,0.0283,0.000798,0.0000
16:42:12,59201.11,0.0002,0.0697,0.004842,0.0000
16:43:13,59242.4,0.0003,-0.0182,0.000340,0.0000
16:44:13,59231.64,0.0000,0.0190,0.000360,0.0000
16:45:14,59242.89,-0.0003,0.0093,0.000093,0.0000
16:46:15,59248.41,0.0001,0.0742,0.005489,0.0000
16:47:16,59292.35,0.0000,-0.0236,0.000559,0.0000
16:48:17,59278.33,-0.0003,-0.0139,0.000185,0.0000
16:49:17,59270.1,-0.0006,0.0525,0.002820,0.0000
16:50:18,59301.2,-0.0001,-0.0222,0.000491,0.0000
16:51:19,59288.01,-0.0003,0.0416,0.001761,0.0000
16:52:20,59312.7,0.0004,-0.0184,0.000352,0.0000
16:53:21,59301.8,0.0003,-0.0020,0.000005,0.0000
16:54:22,59300.64,-0.0001,-0.1453,0.021068,0.0000
16:55:23,59214.5,0.0000,-0.0076,0.000058,0.0000
16:56:24,59210.0,0.0000,-0.0703,0.004949,0.0000
16:57:25,59168.37,-0.0001,0.0236,0.000562,0.0000
16:58:26,59182.36,0.0010,-0.0062,0.000052,0.0000
16:59:27,59178.67,0.0002,0.0024,0.000005,0.0000
17:00:28,59180.08,0.0002,0.0172,0.000289,0.0000
17:01:29,59190.25,-0.0001,-0.1058,0.011175,0.0000
17:02:30,59127.64,-0.0002,-0.0281,0.000778,0.0000
17:03:32,59111.01,-0.0001,-0.0409,0.001664,0.0000
17:04:33,59086.86,-0.0001,-0.0315,0.000986,0.0000
17:05:35,59068.23,-0.0003,0.0005,0.000001,0.0000
17:06:36,59068.5,-0.0001,-0.0398,0.001571,0.0000
17:07:39,59045.01,-0.0002,-0.0187,0.000345,0.0000
17:08:41,59033.94,-0.0004,-0.0304,0.000901,0.0000
17:09:44,59015.98,-0.0002,0.0921,0.008518,0.0000
17:10:46,59070.34,-0.0002,-0.0344,0.001175,0.0000
17:11:49,59050.0,-0.0003,0.0847,0.007213,0.0000
17:12:51,59100.0,0.0000,-0.0229,0.000524,0.0000
17:13:53,59086.48,-0.0000,-0.0429,0.001842,0.0000
17:14:56,59061.11,0.0001,-0.0514,0.002654,0.0000
17:15:58,59030.74,-0.0002,0.0098,0.000100,0.0000
17:17:01,59036.52,0.0000,-0.0076,0.000059,0.0000
17:18:03,59032.01,-0.0002,0.0575,0.003326,0.0000
17:19:05,59065.95,-0.0001,0.0094,0.000091,0.0000
17:20:08,59071.52,-0.0002,-0.0628,0.003919,0.0000
17:21:10,59034.42,-0.0002,-0.1125,0.012621,0.0000
17:22:12,58967.99,-0.0002,-0.0069,0.000044,0.0000
17:23:15,58963.94,-0.0004,-0.0466,0.002135,0.0000
17:24:18,58936.48,-0.0001,-0.1213,0.014689,0.0000
17:25:21,58865.01,-0.0004,0.0039,0.000018,0.0000
17:26:23,58867.32,-0.0003,-0.1190,0.014083,0.0000
17:27:25,58797.27,-0.0004,0.0999,0.010046,0.0000
