timestamp,last_price,predicted_pct,actual_pct,mse
09:38:13,59656.05,-0.1272,-0.0183,0.011861
09:39:18,59645.14,-0.0130,-0.0183,0.000029
09:40:18,59634.21,0.0092,-0.0774,0.007501
09:41:19,59588.03,0.0046,0.0104,0.000034
09:42:19,59594.24,0.0011,-0.0556,0.003219
09:43:24,59561.1,-0.0107,-0.0242,0.000181
09:44:25,59546.71,-0.0093,0.0510,0.003633
09:45:25,59577.07,-0.0076,-0.0018,0.000034
09:46:36,59576.01,-0.0126,0.0163,0.000837
09:47:40,59585.72,-0.0196,-0.0126,0.000049
09:48:41,59578.21,-0.0019,-0.0541,0.002725
09:49:52,59546.0,0.0102,-0.0232,0.001116
09:50:56,59532.17,-0.0191,0.0131,0.001038
09:51:56,59539.99,-0.0049,0.0067,0.000136
09:53:03,59543.99,-0.0109,-0.0504,0.001560
09:54:07,59513.96,-0.0115,-0.0274,0.000254
09:55:11,59497.65,-0.0455,-0.0414,0.000017
09:56:12,59473.04,-0.0073,-0.0413,0.001151
09:57:22,59448.5,-0.0378,0.0530,0.008247
09:58:30,59480.0,-0.0268,0.0176,0.001972
09:59:34,59490.49,-0.0187,0.0193,0.001444
10:00:45,59501.99,-0.0208,-0.0269,0.000037
10:01:45,59486.01,-0.0089,0.0681,0.005934
10:02:49,59526.52,-0.0146,-0.0479,0.001108
10:03:59,59498.0,-0.0169,-0.0221,0.000027
10:05:00,59484.83,-0.0096,-0.0216,0.000143
10:06:11,59472.0,-0.0149,0.0503,0.004254
10:07:21,59501.94,-0.0150,-0.0436,0.000818
